id,seed,forcedness,compression_score,stagnation,efficiency,auto_move_flag
16010382,N#sE#Fmg#ChRa#ItUiL#xyVSuf#TYoKbkQ#wHeWvOqXJAlcnGpZBzjMPrDd,127.000000,1190.000000,35.000000,0.704225,1
16010383,P#TG#KJh#lasn#moROc#VbqDfu#yzUESdN#ixYjvwIXHCWQLBMkAZpFgter,124.000000,1843.000000,54.000000,0.629213,1
16010384,Q#Ha#TrA#gRmV#bJZCf#tWuMyc#UEBXkve#OxYjoNpdqFhszInlwGPDKSLi,145.000000,2178.000000,55.000000,0.545000,1
16010385,s#oh#JKC#WyMi#trxbX#mZLdaN#EkuPBnf#RwApcOFUqTglGIQYHjDVzSev,159.500000,1432.000000,47.000000,0.666667,1
16010386,f#bz#UyD#SOVr#ujaWc#RtZvns#oxiepIB#TkGYNlhAFLQJgXMPEKCHwmqd,142.000000,2400.000000,63.000000,0.500000,1
16010387,J#Iw#rZv#AtTN#cLEph#QPfCsk#geVOyHG#lzdmRBSWqMDojinUYxKFbXua,121.500000,1790.000000,60.000000,0.547368,1
16010388,M#Wn#rUZ#SbVi#YJwRo#ONIsgT#CtPlyfp#EBjxuAceQzdqGDFhXKavLHkm,127.000000,3031.000000,59.000000,0.538462,1
16010381,Y#oZ#Dcq#TMjU#HsIdJ#gEaknp#lwRFVvL#KrNehCxziyPSBGXtWmAuQbOf,196.500000,6328.000000,63.000000,0.500000,1
16010389,m#wi#qJR#pktl#LKSzF#YrNCBd#POaZMDA#xEVbyWcgGnTUIQvHhejfsXou,118.500000,982.000000,45.000000,0.626582,1
16010391,w#vy#epY#OcxV#trMNE#iQzbLq#CTsXaAu#UKRIFgDdmShBlkjJoHWZfPnG,110.500000,1485.000000,55.000000,0.612903,1
16010392,j#lq#iBs#uaNJ#kYnoe#TIZQrK#dtPDxhH#bSUCAmOcvMFwgfpzWRyLVEGX,112.500000,2485.000000,43.000000,0.633803,1
16010393,r#bo#ZUv#RPMC#xLVGd#JDEBHa#gXfIOQe#AskWFhqcTnKwNlmjpSYtzyiu,115.500000,1831.000000,28.000000,0.866667,1
16010394,Z#Sp#yLI#Yqad#bgPhu#UfJwNE#VmRBcez#xkKTXlFrMisAtOCoHjGQDWvn,123.500000,1480.000000,47.000000,0.620879,1
16010395,n#Di#YVE#ufgI#KSNAo#szxbce#rwvRFUB#OCkMpZPQyTqmhlWajLXJGtHd,114.500000,1386.000000,46.000000,0.625000,1
16010396,i#GD#Ock#lzhr#YgNLf#xjMJIu#oqQSUPm#BXFsRCWaVneKwTAtZHEpvdyb,162.000000,2455.000000,66.000000,0.613281,1
16010397,N#hk#VpE#CoAa#JZTcD#BrlReL#KvWQObq#nIUPgxizFSmHtMdusjfYXywG,136.000000,3656.000000,51.000000,0.629213,1
16010390,X#Mz#iIj#wnQl#PTZyb#YeFOca#RDqomfr#WhAGELdxNBKuVCHJUSkgtvsp,92.000000,2702.000000,47.000000,0.592105,1
16010360,A#sB#jLk#uOdx#ycpbU#MRfTWe#wJHvZzS#DhoIqGaimlVtPYgNnFQCXKEr,145.500000,3828.000000,49.000000,0.550562,1
16010380,H#bO#xQG#JzwD#iUqIk#uCcEAT#XtnopyV#BhgWLSfrdmPYasjZvKFeMlRN,156.500000,2062.000000,48.000000,0.621212,1
16010378,p#Fe#VXz#wQiG#YvUbl#LnsBWg#ruTofDI#CSjxmOEJhydRqMkZAcNKPHta,129.500000,2443.000000,57.000000,0.546392,1
16010362,F#uN#HEm#vPZc#exMCV#qJnwGp#DsrgRTa#KzXSWOjBdQyoULlhkbitAIYf,148.000000,2874.000000,74.000000,0.478814,1
16010363,I#fR#ktQ#Gson#xFpgr#TMVdbN#CzvyJDa#ZicLBOjAuXUKlEehYmHwPSqW,106.500000,2016.000000,36.000000,0.702703,1
16010364,T#Cx#Rco#tgKF#GAUNa#BHPdqM#sVDQmLO#SIvhpnfYEweWjyJlzXkrubZi,108.000000,1526.000000,58.000000,0.569149,1
16010365,y#ap#fRh#IbQd#UlYNE#BDmOtP#WKugjqk#HxCAXczvFeVsLSZoJniwMGrT,129.000000,1644.000000,53.000000,0.632979,1
16010366,G#ni#KIA#ZRhW#lcSJE#VgupPt#MHzjQCf#BqayDNdUwsmvkrXTOxFLbYoe,124.000000,2645.000000,45.000000,0.630435,1
16010367,B#lk#omi#jhty#bOuJE#KIaNnH#QRFgYPW#DSdLqfGxCwZvMAcezrsXpUTV,131.000000,3504.000000,60.000000,0.526316,1
16010368,o#kC#mnN#vbuI#OxqSX#UJaMAw#LGKHcFy#PQhiDfYBVTEerWjgptZldsRz,130.000000,2047.000000,55.000000,0.598039,1
16010379,y#lV#LSN#bBCJ#TsuGF#Egczad#OZQWPjk#UIpnfMirqeRKmvxwohAXHDtY,170.000000,2360.000000,53.000000,0.546875,1
16010369,C#Qz#Elx#tqXk#UpYed#DmVIJF#MHsBNnT#OgrcRWGASjiKhyobwPufZvaL,127.500000,1444.000000,52.000000,0.595506,1
16010371,n#xO#ucp#HEbD#sSltg#yTWwNo#AJLMkYz#UCPjrRZQhqdVmefBFIXKavGi,105.500000,1202.000000,48.000000,0.582278,1
16010372,d#jO#cuG#BZYp#RgAJN#HLlExr#FVbiUvn#ICmWtfQXwqKyToMSezhsDPak,141.000000,4371.000000,59.000000,0.533981,1
16010373,Q#uU#RzC#SqMc#LwgTr#IKjikZ#NfOAnol#FmGXVpvxedtaJBbYyHhEsPDW,165.500000,1605.000000,48.000000,0.561224,1
16010374,j#di#QpH#Efrs#Guxkv#DBylWR#XVzNOUq#MJmcFZtAISobCaeLgPnKTYwh,156.000000,1368.000000,60.000000,0.547170,1
16010375,w#HA#Jho#XyeV#PiNta#DzBQrS#FLGjCqv#bxskKgZOWIpfMEYmnUlRuTcd,138.000000,1306.000000,59.000000,0.552083,1
16010376,e#zD#Xum#dJHU#tBnoc#OZEpMg#iLsWbQv#VIGPlKrTawSxYFCqyNRjhAkf,112.000000,2701.000000,48.000000,0.634831,1
